label,id
0,23358834
1,10021266
0,27854268
0,30750233
0,46442048
0,5854267
0,10200513
0,15511455
0,7302306
0,36051601
0,54772207
0,24274084
0,14577006
0,72764448
0,17030323
0,23508364
0,60688
0,5163808
0,25177014
0,66401354
0,21154056
0,41822566
0,44130000
0,61825787
0,16176175
0,14770842
0,8780183
0,25560680
0,17015786
0,5528304
0,7713337
0,33243840
0,40844501
0,62402712
0,6308847
0,7141506
0,68654533
0,17538634
0,71208372
0,52027113
0,11384588
0,10044248
0,60311134
0,41844488
0,43368400
0,32170041
0,36538734
0,21022410
0,21128642
0,7716501
0,23842458
0,42217151
0,5112133
0,28016736
0,67825582
1,58416340
0,62112824
0,43583006
0,86835418
0,74678526
0,6203317
0,64206364
0,66568255
0,32277183
0,72576161
0,7725326
0,44182354
0,17857117
0,36625834
0,18685254
0,11712146
0,84184533
0,41580588
0,66804371
0,5010137
0,16543067
0,21503256
0,38547116
0,36273300
0,18525648
0,62682635
0,46113631
0,52861455
0,38248227
0,40007355
0,70877063
0,7381588
0,80472855
0,22213425
0,35163673
0,11270272
0,13047245
0,62287078
0,41282136
0,7474403
0,71018053
0,26147732
0,80518711
0,76123731
0,85645261
0,67502664
1,8043292
0,54300100
0,26856405
1,58840434
0,42388500
0,6808063
0,36631570
0,41258547
0,46504636
0,13611247
0,24858572
0,22031308
0,40705273
0,47824321
0,25246685
0,5275301
0,7627247
0,35228867
0,30673663
0,23457711
0,8641537
0,37362172
0,70546886
0,38124061
0,70383331
0,76656087
0,54563264
0,36745808
0,15363887
0,20050244
0,48058188
0,140271
0,62650571
0,217205
0,8522686
0,6214377
0,48800438
0,60111134
0,6614808
0,26113332
0,33072658
0,57500711
0,24256832
0,38644868
0,50788251
0,27273301
0,63360572
0,65572601
0,14841044
0,68385577
0,54848573
0,52467814
0,21360460
1,66964228
0,58612576
0,10576666
1,8460531
0,33381702
0,560037
0,32830460
0,34653137
0,53063107
0,22781071
0,65114770
0,18333545
0,35180266
0,43378057
0,32665862
0,21057851
0,55647582
0,36707263
0,13086286
0,24866254
1,73364457
0,76826745
0,20318254
0,13673338
0,23463353
0,8504713
0,33814788
0,56321110
0,52343811
1,9774918
0,53687785
1,41420047
0,51823404
0,50356543
0,31673152
0,21802480
0,73287267
0,14232327
0,71352880
0,13525715
0,54082880
0,64627136
0,14827107
0,15233564
0,65222372
0,44740634
0,15845188
0,27040568
0,34372687
0,38564081
0,36762263
0,56734635
0,33177438
0,21465167
0,53767051
0,61425762
0,10472774
0,11413812
0,24575473
0,31441326
0,66721733
0,5045001
0,31653256
0,47233068
0,5463804
0,44880051
0,76625564
1,64811481
0,25218812
0,26013770
0,6588438
0,55151340
1,7631232
0,53853058
0,16463751
0,51855146
0,68616025
0,64617023
0,35466308
0,65177127
0,14223803
0,35540368
0,48058266
0,28663674
0,16053241
0,22708360
0,58033044
0,40844708
0,68776632
0,37643622
0,34284626
0,46587637
0,46653086
1,22674085
0,34870413
0,84576608
0,54167244
0,13316805
0,48032332
0,45825044
0,27723154
0,42484135
0,68458214
1,73121784
0,65533124
0,70086800
1,63555998
0,51728401
1,7632973
1,6385889
0,31625688
0,10175282
0,23476785
0,22413848
0,38822103
0,72085783
0,45142818
0,45137213
0,46703610
0,15346553
0,24863816
0,6741407
0,8255486
0,12147040
0,41002838
0,56230387
0,41423184
0,36315041
0,36667040
0,54016221
0,36637488
0,25000811
0,44073273
0,8325344
0,33212647
0,11813505
0,22468283
